GeneID	GSM8290288	GSM8290289	GSM8290290	GSM8290291	GSM8290292	GSM8290293	GSM8290294	GSM8290295	GSM8290296	GSM8290297
1855	345	398	154	451	1190	362	342	638	441	574
102466740	0	0	0	0	1	0	1	1	0	0
54587	936	4058	390	2135	11969	3275	1088	5020	2128	4979
54998	1781	1512	1194	1319	1660	1135	1790	1866	2046	1165
81669	478	2053	1732	2522	3972	1345	2691	1117	870	2780
148413	364	367	238	361	488	311	432	334	384	295
55052	1019	964	468	771	1094	784	993	1007	1225	780
107984868	1	3	0	2	25	5	5	4	4	7
441869	71	76	7	101	415	107	48	103	79	169
105378585	5	15	4	14	43	11	1	0	4	15
643965	0	0	0	0	0	0	0	0	0	0
102724312	11	22	7	8	78	10	7	20	13	17
107985729	0	2	1	2	14	3	0	5	4	4
64856	270	1076	59	569	2889	941	746	2733	1402	2686
219293	52	93	29	30	71	33	48	65	46	25
83858	263	409	455	509	630	294	591	408	385	454
55210	416	370	261	397	429	214	465	395	362	281
339453	8	18	5	24	79	18	9	15	13	12
29101	1318	1288	829	1069	1432	1371	1283	1806	2212	1559
643988	212	83	97	43	69	63	104	113	181	84
105378586	3	4	2	3	5	1	9	3	5	6
142678	347	590	416	664	1382	422	529	559	463	675
8510	84	85	130	95	278	70	158	86	92	130
984	476	633	583	711	811	627	979	574	662	694
728661	362	835	608	658	1045	597	993	760	557	875
8511	4	10	14	16	118	13	20	11	14	35
728642	409	577	603	497	628	488	874	562	462	634
9906	281	383	414	369	542	399	579	433	231	467
112268218	368	200	402	297	241	222	420	283	190	304
65220	1096	870	1486	1333	1042	1565	2021	1472	1773	1530
2782	3008	3377	1603	2773	4576	4044	3840	5497	6056	5111
105378949	0	9	3	1	9	7	3	2	6	5
163688	45	2	15	3	25	2	19	2	2	8
339456	181	5	5	7	9	11	8	2	3	0
85452	0	0	2	3	1	0	0	3	3	3
107984872	0	0	0	0	0	0	0	0	0	0
105378589	0	4	0	0	5	2	2	11	3	17
2563	1	2	5	21	49	8	4	54	21	31
105378590	0	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0	2	0
5590	59	68	48	109	408	84	84	186	114	165
100506504	8	9	3	14	21	8	7	8	5	26
199990	392	562	374	533	984	457	455	701	824	611
112268219	29	39	26	75	108	19	58	30	37	70
105378593	0	4	0	3	8	2	1	4	1	2
6497	435	686	232	828	1827	896	610	1229	935	1412
79906	16	21	19	34	50	38	45	26	36	27
100129534	14	18	22	19	34	11	18	1	13	18
11079	1430	1720	1095	1705	2400	1787	2199	2402	2806	2354
5192	231	281	181	290	520	266	315	357	400	372
9651	12	82	19	75	18	51	75	42	40	46
55229	165	201	147	255	256	211	294	245	245	285
388585	12	13	15	20	21	8	13	18	1	0
115110	103	145	328	213	201	207	309	166	274	212
8764	633	1601	824	1218	1969	3086	3046	2319	4777	3142
100996583	3	4	8	8	10	19	20	20	28	14
127281	242	294	190	300	401	378	392	529	753	422
79258	48	51	32	59	76	95	68	99	141	92
105378597	0	1	0	4	1	1	1	0	0	3
100287898	0	6	4	19	18	6	11	1	12	11
105378603	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0
440556	10	25	11	49	78	14	8	13	12	10
63976	13	21	7	27	66	20	10	10	4	15
100422968	0	0	0	0	0	0	0	0	0	0
105378606	0	0	0	0	0	0	0	0	0	0
107984909	0	0	0	0	1	0	0	0	1	0
105378605	0	0	0	3	0	0	0	0	0	0
105378604	1	1	0	0	0	1	4	6	14	7
27237	4	3	7	10	40	10	8	12	10	17
1953	210	121	365	266	443	151	191	268	284	607
105378608	0	0	0	0	0	0	0	5	0	1
693135	0	0	0	0	0	0	0	0	0	0
105378607	9	2	120	15	3	14	4	3	4	0
127262	991	882	397	1044	965	619	788	793	800	829
49856	314	255	255	310	300	269	350	337	302	292
7161	21	38	20	35	45	26	39	30	23	22
105378610	1	0	1	1	2	0	5	1	1	1
105378609	3	0	1	5	2	3	0	2	0	1
57212	115	309	164	325	547	214	314	206	169	317
148870	0	1	0	3	0	4	0	0	0	0
388588	776	306	231	530	78	99	310	39	14	34
57470	513	623	390	534	740	447	719	600	572	578
9731	160	167	106	177	224	196	208	265	208	237
1677	45	87	85	103	123	91	103	97	93	101
107984910	2	0	10	3	4	2	2	6	5	2
339448	233	258	190	315	321	296	372	308	392	356
100133612	6	6	2	4	3	6	4	4	2	3
728716	0	0	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	1	0	0	0	0	0	0
107985376	28	16	10	20	3	3	11	6	0	16
55966	6	6	3	19	15	30	5	21	28	66
105376680	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0	0	0
100616421	0	0	0	0	1	0	0	0	0	0
261734	55	77	69	92	174	91	108	96	77	147
8514	1636	1325	1384	1285	865	1682	1459	1546	2262	1399
26038	0	1	3	9	7	3	1	2	1	2
105376687	0	0	0	0	0	0	0	0	0	0
6146	8997	9541	7076	8696	10424	7665	9164	10287	12603	6598
107985733	22	24	24	30	31	26	33	32	39	27
102724450	7	2	1	0	17	2	5	2	6	4
388591	48	74	57	81	138	122	129	98	87	182
23463	556	688	297	620	832	719	822	1114	907	1282
148645	1	1	3	1	1	4	0	1	2	1
390992	0	0	0	0	0	0	0	0	0	0
387509	77	306	26	159	752	281	186	253	330	252
11332	297	172	139	318	356	669	650	642	1948	611
54626	1	5	1	1	1	20	13	5	92	29
83715	534	300	1445	598	132	170	253	57	73	74
100422975	0	0	0	0	0	0	1	0	0	0
8718	51	151	99	182	301	183	461	205	221	221
57449	45	137	23	86	441	94	86	161	111	228
79707	204	272	215	281	378	203	364	259	242	310
80835	0	7	4	1	12	3	0	5	4	4
107984912	0	1	0	1	0	0	0	1	1	1
3104	255	314	412	421	589	353	468	383	420	496
9903	349	374	205	467	649	393	419	668	509	550
107984913	2	3	0	7	10	3	11	1	3	2
148479	142	277	105	227	278	209	246	261	230	207
90326	317	409	301	495	700	389	518	446	513	455
55735	215	259	254	376	414	288	394	254	321	322
100505887	0	0	0	0	0	0	0	0	0	0
110841581	12	9	6	25	8	5	15	5	2	9
23261	417	532	245	404	761	503	441	625	709	530
105376692	0	0	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0
101928836	0	3	2	2	4	0	1	2	0	1
105376691	0	0	0	0	0	0	0	0	0	0
105376689	1	4	4	4	28	8	6	3	3	9
9341	1117	1110	576	1360	2272	1602	1219	2075	2117	1990
8863	79	99	31	138	773	124	112	139	94	122
10911	150	121	3	51	165	251	137	361	380	83
3604	10	36	26	33	54	240	215	185	464	160
11315	2533	2575	1217	2215	3540	2939	2921	4087	4857	2710
54206	138	1166	49	225	1523	636	414	879	453	616
107984915	0	2	0	0	0	0	0	0	1	0
102724539	0	1	0	0	0	0	0	0	0	0
105376695	0	0	0	0	0	0	0	0	0	0
50651	6	22	0	15	35	20	11	23	15	18
473	596	815	516	663	1319	831	824	922	794	1132
102724552	1	12	20	12	21	12	25	12	8	16
106632271	0	0	0	1	0	0	0	0	0	0
2023	11876	5608	5737	7564	11654	12708	11423	14917	25528	13677
102465436	0	0	1	0	1	0	0	1	1	2
100505975	5	1	1	3	2	4	9	2	4	3
112268261	0	0	0	4	0	2	5	3	0	1
765	0	0	3	0	1	0	1	1	0	1
155184	0	0	1	0	0	0	1	0	1	3
6518	1049	232	962	450	174	922	547	360	1225	858
80045	71	47	43	66	107	177	230	193	543	239
106614088	4	58	14	41	90	77	105	117	106	392
407040	0	0	0	0	0	0	0	0	0	0
102724571	2	9	2	1	19	11	7	39	26	34
9563	829	719	591	751	1063	1294	1018	1125	968	1602
80176	79	169	30	120	333	218	134	304	430	330
100506022	7	15	0	16	20	7	5	8	12	20
84275	78	100	34	81	186	133	164	195	244	147
199953	133	118	67	108	189	106	130	130	91	136
107985734	19	20	19	16	10	9	15	13	15	16
105376712	0	0	0	0	0	0	0	0	0	0
5293	1337	811	1593	1394	887	1258	1790	1503	1245	1270
644997	64	6	19	35	12	16	22	17	16	12
101929074	11	34	4	15	33	23	15	24	25	9
22883	561	1199	194	988	2428	1583	952	1897	1339	2086
56998	403	399	236	277	564	297	277	550	547	408
105376717	21	21	18	19	35	20	29	45	49	30
84328	415	437	260	390	569	396	471	519	413	421
64802	93	165	67	82	190	155	167	216	206	243
113391335	0	0	0	0	0	0	0	0	0	1
100847055	0	0	0	0	0	0	0	0	0	0
116362	721	2081	416	819	1236	302	254	429	95	101
10277	344	494	388	525	571	389	641	506	367	528
23095	329	343	269	325	466	418	443	451	434	629
105376725	4	8	4	0	2	0	2	1	0	4
5226	6927	1984	3777	4013	2505	5587	4846	3720	8548	4739
100526739	65	40	33	51	71	43	63	62	55	51
378708	103	59	41	76	75	54	77	75	82	63
1325	8	7	12	11	37	5	6	4	8	12
1676	258	379	117	285	516	358	394	542	566	472
5195	202	261	85	178	355	282	270	343	460	300
54897	100	48	30	83	60	48	73	65	42	52
105376733	0	0	0	0	0	0	0	0	0	0
105376735	0	0	0	0	0	0	0	3	0	0
148345	12	39	3	20	19	33	17	48	35	35
23435	906	1318	1024	1440	1784	1127	1812	1417	1344	1346
10747	10	35	27	50	66	19	50	17	16	31
6723	826	1004	395	579	1119	826	874	1373	1422	959
5394	499	623	566	925	1092	596	967	639	665	760
105376736	2	4	1	4	5	3	8	9	6	12
2475	252	352	261	370	374	387	528	452	385	477
100873935	0	1	1	3	0	1	3	1	0	0
10218	118	1	5	643	3	7	0	7	3	0
29914	192	215	118	189	250	225	281	320	288	218
105376737	0	0	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0	0	0
105376740	0	0	0	0	0	0	0	0	0	0
57540	1	4	4	2	4	6	0	2	7	1
112268221	0	0	0	0	0	0	0	0	0	0
101929181	0	0	0	0	0	0	0	0	0	0
26232	21	35	7	110	270	58	28	356	49	15
93611	81	323	115	358	750	329	316	375	297	356
26270	179	247	129	155	306	747	714	705	1342	522
10459	597	476	269	438	461	501	602	634	758	419
374946	11	5	12	14	10	26	5	27	42	12
57085	1982	680	1130	1302	833	1419	1277	1360	2119	1340
284498	25	42	14	38	51	53	57	33	38	55
102724659	0	0	0	0	0	0	0	0	0	0
4524	325	466	246	407	468	448	610	510	440	484
1185	77	239	109	193	335	209	249	207	159	314
100379251	3	26	14	20	23	20	45	18	16	62
4878	3	16	26	21	12	17	30	11	4	38
4879	0	0	1	1	0	0	0	0	0	0
26829	0	6	0	1	2	1	0	3	1	1
90231	1031	1002	552	777	1204	1006	911	1283	1309	1174
5351	716	1261	316	586	3026	1651	1192	3128	2171	3515
9927	1196	1104	1016	1452	1165	1071	1628	910	1080	1228
60672	659	453	590	656	593	447	821	444	596	510
102466982	2	2	3	5	1	3	2	2	1	2
943	26	37	9	23	64	66	58	92	204	87
102465836	0	1	0	1	3	4	3	2	4	4
7133	1427	2351	578	1271	1121	3401	2566	3729	4420	3125
100616438	0	0	0	0	0	1	0	0	0	0
107984917	0	11	1	3	0	4	4	5	3	5
55187	245	419	223	362	535	348	398	411	322	451
677885	0	0	0	2	0	1	5	6	5	3
105376744	1	4	3	7	3	0	1	0	1	1
9249	813	1301	224	967	1259	726	387	665	628	662
102466722	1	5	1	2	2	2	0	0	0	1
343066	0	0	1	0	0	0	0	0	0	0
126767	2	0	0	0	0	0	0	0	0	0
93190	1	0	0	0	0	0	0	2	1	0
390999	0	0	0	0	2	0	0	0	0	0
65121	0	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0
343069	0	0	0	0	0	0	0	0	0	0
65122	0	0	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	0	0
649330	0	0	0	0	0	0	0	0	0	0
441873	0	0	0	0	0	0	0	0	0	0
649324	0	0	0	1	0	0	0	0	0	0
440563	0	0	0	0	0	0	0	0	0	0
645354	0	0	0	1	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	0
101060301	0	0	0	0	0	0	0	0	0	0
343070	0	0	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0
126755	27	0	0	0	6	4	0	1	2	23
102724856	1	0	0	0	0	2	0	0	0	0
107984918	1	0	0	0	0	0	0	1	0	1
10630	82	36	26	137	1253	1132	863	2060	2248	2348
107984919	0	0	0	0	0	2	5	6	3	4
105378612	0	0	0	0	0	0	0	0	0	0
105376756	0	0	0	0	0	0	0	0	0	0
7799	207	396	319	392	656	498	641	492	449	561
23254	73	197	78	136	340	78	73	169	90	176
107985467	0	0	0	0	2	0	0	0	0	0
107985468	1	1	1	1	6	2	0	0	0	0
105376762	0	0	0	1	0	0	0	0	0	0
105376759	0	0	0	0	0	0	0	1	1	1
107985469	0	1	0	0	0	0	0	0	0	0
200197	11	41	13	53	104	19	23	29	22	32
55092	40	174	15	73	296	523	406	467	981	515
727684	0	1	0	1	3	1	3	0	0	4
114827	6	20	2	11	41	87	33	47	154	60
101927417	1	11	1	2	24	29	15	20	45	19
101927441	6	9	1	8	13	12	16	7	18	8
79180	3488	2267	1893	2653	2174	3392	4568	4134	7041	3533
11330	0	4	5	4	6	3	4	1	3	7
63036	0	0	0	1	0	0	0	0	1	0
105376767	0	0	0	1	0	1	0	0	3	0
51032	0	5	1	0	2	1	3	0	3	1
842	174	118	138	160	237	230	193	273	397	258
23341	107	188	105	134	211	159	233	234	173	232
107397391	0	0	0	0	0	0	0	0	0	0
79814	57	21	11	24	27	26	60	66	77	32
84301	582	773	616	932	431	464	1083	362	452	439
6248	38	55	52	66	32	50	75	34	49	39
23207	856	1227	401	944	1774	1485	1189	1575	2360	1756
284723	75	59	22	36	78	36	33	26	18	80
110806303	2	1	0	3	5	3	5	3	5	6
388595	0	0	0	0	0	0	0	0	0	0
54751	95	466	43	299	1041	494	377	898	644	1053
440567	64	71	50	74	70	59	91	97	100	64
729614	100	72	60	103	111	50	109	78	62	89
23013	276	369	277	397	514	381	504	366	281	381
7709	370	504	415	519	765	540	729	647	658	731
149563	0	2	0	0	0	0	0	0	0	0
27129	698	51	12	77	799	180	23	197	137	79
1187	1	0	1	2	17	3	1	5	7	5
1188	0	5	1	1	35	2	2	1	1	2
348487	0	3	0	15	60	1	3	0	0	5
1969	64	360	36	238	1218	317	117	460	182	445
101927479	0	5	1	10	16	0	1	0	2	1
128272	88	192	88	569	1164	164	183	361	216	650
101927546	36	44	14	51	79	37	32	28	23	57
79363	23	21	14	38	60	20	26	27	26	30
54455	261	294	289	452	661	383	426	388	423	477
26099	756	914	353	719	1278	1337	1271	1812	2456	1330
374955	602	655	253	552	1021	937	887	1344	1709	1020
55707	798	1100	554	845	1172	2481	2343	2086	3477	1779
107984921	7	15	17	17	30	8	18	9	17	21
114819	11	36	23	65	66	17	44	29	17	46
26871	68	34	34	15	17	20	4	12	52	17
107985757	0	0	0	0	0	0	0	0	0	0
100132147	0	0	1	0	6	0	0	0	0	0
107985758	0	0	0	0	2	0	0	0	0	0
7195	0	0	0	0	0	0	0	0	0	0
55672	75	212	83	152	436	220	141	215	104	262
105376794	227	338	731	812	432	181	858	192	84	244
84809	216	270	532	595	336	149	642	160	76	168
11209	12	46	65	121	95	15	62	14	14	29
107985736	0	2	0	0	3	4	2	3	2	6
26869	66	30	32	14	12	14	5	15	52	16
107985759	1	0	0	0	0	0	0	0	0	0
284729	0	0	0	0	1	0	1	0	0	0
100189045	0	0	0	0	0	0	0	0	0	0
6060	72	30	32	14	10	16	4	13	50	16
11223	1	19	18	41	46	26	34	9	11	40
100500876	0	0	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0	0	0
112267871	0	1	1	1	2	0	0	0	0	0
7193	0	0	1	1	1	0	0	0	0	0
100189183	0	0	0	0	0	0	0	0	0	0
105376805	55	160	33	109	135	176	121	198	153	143
791226	0	0	0	0	1	0	0	0	0	1
26870	77	30	32	16	10	18	5	13	50	18
9696	74	256	110	275	423	185	227	196	150	343
4237	53	132	18	26	276	143	223	656	377	1701
105376806	7	26	2	9	48	35	43	128	81	408
23400	373	370	156	331	527	779	473	736	891	638
6390	781	701	285	655	895	949	958	1164	1797	860
11240	1549	120	1499	830	454	622	773	319	450	703
105376808	0	0	0	0	0	0	0	0	0	0
400743	0	0	0	0	0	0	0	0	0	0
29943	0	0	0	0	0	0	0	1	0	0
51702	0	0	0	0	0	0	0	0	0	0
100616188	0	0	0	0	0	0	0	0	0	0
23569	7212	237	3037	3921	1742	800	2615	482	119	345
353238	9	0	9	1	0	2	0	0	2	2
55920	1616	1444	1265	1502	1328	1545	2261	2038	2190	1760
55160	102	278	82	221	548	732	685	598	1078	1009
107984028	0	0	0	0	0	0	0	0	0	0
81569	0	0	0	0	0	0	0	0	0	0
105376809	0	1	0	0	0	0	0	0	0	0
105376812	0	0	0	0	0	0	0	0	0	0
101927876	0	0	0	0	0	0	0	0	0	0
84966	125	73	15	20	89	20	26	36	65	63
105376814	0	1	0	0	0	1	0	0	0	2
127707	0	2	0	0	0	0	0	4	0	0
5081	8	0	0	0	0	1	0	0	0	0
80834	0	0	0	0	0	0	0	0	0	0
8659	278	420	236	264	285	144	199	138	122	121
100616120	0	0	0	0	0	0	0	0	0	0
100302276	0	0	0	0	0	0	0	0	0	0
126917	49	183	33	110	200	243	235	292	254	224
105376815	0	0	0	0	0	0	0	0	0	0
23352	1332	1355	1693	1832	1547	1018	1916	1075	902	1655
101927895	17	20	15	11	32	18	12	21	19	19
23065	286	438	207	305	724	485	430	687	601	623
51154	511	631	228	428	683	410	736	640	955	494
246181	2	5	12	14	24	5	1	2	1	7
22977	2	17	12	8	26	15	10	11	6	24
100506730	13	26	18	21	51	22	21	28	17	44
8574	730	515	182	445	890	602	390	765	867	715
54896	200	257	175	179	347	262	334	314	478	325
832	3978	3432	2083	2946	4405	4612	4426	6481	7682	6017
105376819	3	0	4	1	1	1	0	0	2	1
105376818	0	0	0	0	0	0	2	0	3	0
105376817	0	0	0	0	0	0	0	0	1	0
105378614	0	1	0	0	0	0	0	0	0	0
440574	937	951	502	787	1362	920	1067	1375	1787	1204
100532736	664	886	206	1001	4445	1082	630	2540	2833	4570
644068	21	31	50	42	104	20	62	41	59	38
4681	480	675	127	851	4180	901	426	2235	2407	4331
3362	0	0	0	2	0	2	2	2	1	2
255104	120	168	92	157	260	313	300	353	405	295
54546	4	2	0	0	4	0	0	0	0	0
105376823	0	0	0	0	0	0	0	0	0	0
23252	49	144	94	202	246	90	161	82	59	119
30814	0	0	0	0	0	0	0	0	0	0
5320	107	2	59	424	3135	354	111	75	392	121
5322	14	73	16	71	262	24	21	12	3	37
26279	11	41	8	25	10	3383	1473	734	3387	900
64600	0	0	0	0	0	0	0	0	0	0
391013	1	1	0	0	0	1	5	3	7	0
127733	77	48	33	49	24	25	80	16	44	24
101928017	3	2	6	1	4	15	36	10	25	6
105376825	3	1	5	2	5	2	5	1	1	1
105376826	0	0	0	0	0	0	0	0	0	0
105376827	0	0	0	0	0	0	0	0	0	0
105376828	0	0	0	0	0	0	0	0	0	0
127731	0	0	0	0	0	0	1	1	0	0
339505	0	0	0	0	0	0	1	9	2	9
55450	89	53	13	163	356	156	128	455	400	600
79594	252	390	85	263	492	375	343	574	597	466
163933	17	1	0	1	101	16	9	8	16	19
978	3716	117	1156	1300	612	765	450	500	825	432
65018	757	610	338	1013	1093	751	683	844	940	855
102464833	3	4	2	15	12	2	6	7	16	13
100861548	1216	1035	605	1229	1465	1101	1100	1370	1483	1382
1650	2286	2393	946	1928	2894	3035	2457	3713	4241	2963
57576	32	70	7	53	163	126	25	74	111	80
400745	0	1	0	0	3	1	0	2	0	0
112268222	605	905	833	967	977	724	1272	684	497	826
50809	731	1148	1043	1215	1159	990	1743	876	701	1093
8672	317	496	293	393	686	519	520	655	481	796
105376830	4	6	10	2	8	2	8	5	0	1
105376829	1	0	1	2	1	0	2	1	0	4
100302155	0	0	0	0	0	0	0	0	0	0
1889	1158	1258	664	1299	1853	1656	1145	2238	1489	2821
100506801	2	5	4	8	3	4	11	7	6	5
105376832	0	0	0	1	0	0	0	0	0	0
84224	5	88	39	41	46	48	14	59	46	104
249	511	2799	314	1047	8984	2783	1534	4056	1867	8862
105376834	0	1	0	0	5	1	0	2	2	8
5909	19	148	12	86	45	16	38	4	1	118
84196	548	690	634	801	802	614	922	649	644	714
401944	418	1691	183	1080	3522	1187	670	2599	1103	4627
3339	495	2046	214	1557	5263	1947	873	3763	1542	7301
23436	0	0	0	0	0	0	0	0	0	0
10136	0	0	0	0	0	0	0	0	0	0
101928043	0	4	3	1	2	1	7	2	6	5
29092	97	121	68	96	137	140	185	225	254	147
112268223	19	12	13	7	20	12	31	29	35	23
998	3465	3752	2245	3169	3722	4369	4695	5552	6986	4365
54361	24	23	3	14	53	129	87	45	52	77
105376845	0	2	0	2	14	5	7	2	1	1
105376850	0	0	0	0	1	0	0	0	0	0
107985377	0	0	0	0	0	0	0	0	0	0
100616433	0	0	0	0	0	0	0	0	0	0
105376856	0	0	0	0	0	0	0	0	0	0
9923	148	379	235	361	419	309	696	344	273	427
2046	0	2	0	0	0	2	1	0	0	1
102466615	0	0	0	0	0	0	0	0	0	0
712	7752	19097	2557	4991	7408	50815	19396	27823	44471	25422
714	6315	13384	1304	3501	5213	27785	9340	16972	22096	16012
713	8399	15927	1662	5013	6138	46204	12732	25586	41229	28246
2048	18	26	2	37	110	135	91	305	152	403
100616391	0	0	0	0	0	0	0	0	0	0
100422914	0	0	0	0	0	1	0	1	1	3
646262	0	0	0	0	0	0	0	0	0	0
729059	0	0	0	0	1	0	2	0	0	0
23028	576	600	277	607	829	528	636	649	625	663
100422866	0	0	0	0	0	0	0	0	0	0
7798	107	225	70	192	318	329	254	448	438	490
3352	2	0	0	1	0	2	1	1	0	2
100996511	8	54	103	117	159	21	148	33	17	74
10236	601	997	370	889	1054	1141	1295	1331	1101	1097
80818	61	203	54	144	636	224	182	261	191	253
148898	11	40	24	38	146	10	59	28	28	37
6920	410	254	46	187	876	188	88	272	180	288
55616	78	176	37	216	541	215	88	315	222	570
1870	1791	1279	1424	1934	264	232	1834	79	92	78
101928163	9	6	6	11	1	2	8	0	0	2
105376859	0	0	0	1	2	0	2	0	1	0
3399	420	2444	214	794	4904	1992	862	4552	3604	4341
107984928	0	1	0	5	2	1	0	2	1	2
259283	5	2	4	14	1	5	0	6	3	0
6135	20143	18875	14085	19741	21536	17114	19477	22729	28695	12923
6924	313	587	253	400	621	479	581	633	639	456
100506963	37	59	33	59	91	49	72	59	53	63
57095	1385	1377	1153	1517	889	598	1487	951	731	599
105376860	15	31	10	30	45	44	54	54	53	40
11313	702	704	552	640	681	618	833	882	983	658
2582	160	277	114	212	371	250	262	366	366	259
3155	369	491	248	459	650	583	594	608	901	633
105376861	0	0	0	2	1	1	0	0	0	0
2517	1280	1763	235	482	937	1526	688	1609	1748	932
1269	24	13	28	33	14	28	29	29	36	4
107984929	0	0	0	0	0	0	0	0	0	0
100616492	0	0	0	0	0	0	0	0	0	0
