	JG-27250_S1.rsem.genes.results	JG-27251_S2.rsem.genes.results	JG-27255_S6.rsem.genes.results	JG-27256_S7.rsem.genes.results	JG-27260_S11.rsem.genes.results	JG-27261_S12.rsem.genes.results
ENSG00000004139_SARM1	1166	1094.11	1323.31	1283.27	1519.58	1766.53
ENSG00000004142_POLDIP2	3804	4732	3123	3389	3349	4930
ENSG00000004399_PLXND1	144	251	195	222	114	244
ENSG00000004455_AK2	4879.3	6698.51	4583.8	5312.68	3873.26	7660.08
ENSG00000004468_CD38	0	0	1	0	0	0
ENSG00000004478_FKBP4	6337.97	6357	4575	4077	2927	5625
ENSG00000004487_KDM1A	5308	4665	4564	3582	3118	4929
ENSG00000004534_RBM6	2839	2499.05	3073.26	2343	2030	2692.28
ENSG00000004660_CAMKK1	316	639	464	548	239	648
ENSG00000004700_RECQL	1976.68	1069.36	1744.07	885.11	1075.63	1095.88
ENSG00000004766_VPS50	518	468	473	476	360	533
ENSG00000004776_HSPB6	0	2	5.58	3	4	1
ENSG00000004777_ARHGAP33	80	37	103	21	57	44
ENSG00000004779_NDUFAB1	1338	1658	1179	1426	942	1598
ENSG00000004799_PDK4	172	185	36	34	16	65
ENSG00000004809_SLC22A16	0	0	0	0	0	0
ENSG00000004838_ZMYND10	14	10	22	18	11	10
ENSG00000004846_ABCB5	0	1.94	0	1	0.72	0.98
ENSG00000004848_ARX	0	0	0	0	0	0
ENSG00000004864_SLC25A13	828	941	795	648	565	921
ENSG00000004866_ST7	605.44	532.12	576.51	462.86	464.32	599.79
ENSG00000004897_CDC27	3273.99	2602	2924.92	2298.97	2670.06	3262.93
ENSG00000004939_SLC4A1	1	1	1	0	0	0
ENSG00000004948_CALCR	4	1	5	0	13	1
ENSG00000004961_HCCS	614	539	539	441	426	703
ENSG00000004975_DVL2	710	1175	664	1027	654	1345
ENSG00000005001_PRSS22	0	0	0	0	0	0
ENSG00000005007_UPF1	2876	2993	2919	3209	2820	3557
ENSG00000005020_SKAP2	948	461	869	450	727	464
ENSG00000005022_SLC25A5	9085.86	9021.78	7326.85	6336.83	6292.87	9449.75
ENSG00000005059_CCDC109B	307	299	273	246	219	294
ENSG00000005073_HOXA11	3	12	3.89	13	4	20
ENSG00000005075_POLR2J	754.88	1015.21	760.3	1009.88	720.86	1170.79
ENSG00000005100_DHX33	1182	1825	1392	2016	1324	2630
ENSG00000005102_MEOX1	4	0	2	0	6	0
ENSG00000005108_THSD7A	0	0	1	1	0	0
ENSG00000005156_LIG3	1333.6	1260.28	1070.91	899.06	1071.31	1479.77
ENSG00000005175_RPAP3	1068	1050	938	1007	870	1236
ENSG00000005187_ACSM3	7	21.08	8.1	5	5.07	13
ENSG00000005189_AC004381.6	209	205	148	123	180	228
ENSG00000005194_CIAPIN1	2020	2447	1797	2580	1782	3129
ENSG00000005206_SPPL2B	406	546	790	556	434	593
ENSG00000005238_FAM214B	110	130	100	182	110	174
ENSG00000005243_COPZ2	91	194	127	238	81	250
ENSG00000005249_PRKAR2B	0	0	1	0	0	0
ENSG00000005302_MSL3	826	881	725	788	567	835
ENSG00000005339_CREBBP	1937	2032	1888	2549	2119	2502
ENSG00000005379_BZRAP1	0	1	0	1	0	0
ENSG00000005381_MPO	0	0	0	0	0	0
ENSG00000005421_PON1	0	0	2	0	0	0
ENSG00000005436_GCFC2	255	216	354	246	306	400
ENSG00000005448_WDR54	521	543	436	357	383	595
ENSG00000005469_CROT	288	246	229	126	94	177
ENSG00000005471_ABCB4	0	0	2	1	0	0
ENSG00000005483_KMT2E	1672	1398	1716	1326	1518	1567
ENSG00000005486_RHBDD2	632	818	557	676	696	1018
ENSG00000005513_SOX8	0	0	0	0	0	0
ENSG00000005700_IBTK	2717	2077	2600	2194	2370	2596
ENSG00000005801_ZNF195	557	858	522	608	490	1031
ENSG00000005810_MYCBP2	2615	1860	2564.96	2147	2148.34	2176
ENSG00000005812_FBXL3	668.22	733.58	593.04	641.27	585.14	817.76
ENSG00000005844_ITGAL	20	154	46	169	42	176
ENSG00000005882_PDK2	190	268.89	184.67	268.83	92	257.37
ENSG00000005884_ITGA3	10903	17986.26	11637.16	15972.01	10264	20418.01
ENSG00000005889_ZFX	1145	1109	835	975	909	1122
ENSG00000005893_LAMP2	2536.2	1827	2484	1547	1455	1961
ENSG00000005961_ITGA2B	6	1	4	0	1	2
ENSG00000005981_ASB4	1	2	0	1	0	0
ENSG00000006007_GDE1	1365.59	1562	1193	1323	994	1649
ENSG00000006015_C19orf60	152	154	190	135	155	144
ENSG00000006016_CRLF1	64.51	62.66	109.02	62.83	42.07	60
ENSG00000006025_OSBPL7	238	482	346	380	186	393
ENSG00000006042_TMEM98	46	0.95	41	1.06	22	0.96
ENSG00000006047_YBX2	0	1	1	0	0	0
ENSG00000006059_KRT33A	0	0	0	0	0	0
ENSG00000006062_MAP3K14	453.49	798.06	442	735.22	530.04	1013.65
ENSG00000006071_ABCC8	0	0	0	0	0	0
ENSG00000006116_CACNG3	0	0	0	0	0	0
ENSG00000006118_TMEM132A	1067	1820	1190	1286.94	944	1590
ENSG00000006125_AP2B1	8973	8627	8064	7263	6785	9513
ENSG00000006128_TAC1	0	0	0	0	0	0
ENSG00000006194_ZNF263	1062.6	1504.36	994.27	1353.05	952.07	1577.99
ENSG00000006210_CX3CL1	2	326	2	164	7	340
ENSG00000006282_SPATA20	850	964	1206	916	885	1095
ENSG00000006283_CACNA1G	3	3	7	1	4	2
ENSG00000006327_TNFRSF12A	3298	5451	2746	4909	4336	7715
ENSG00000006377_DLX6	0	0	0	0	0	0
ENSG00000006432_MAP3K9	247	573	208	553	216	754.02
ENSG00000006451_RALA	854	808	733	642	713	1002
ENSG00000006453_BAIAP2L1	1375.04	1841.56	1317.1	1864.44	1339.59	2247.55
ENSG00000006459_KDM7A	661	542	342	665	746	693
ENSG00000006468_ETV1	1042	1015	665	601	738	944
ENSG00000006530_AGK	1195	1355	1060	1205	1044	1626
ENSG00000006534_ALDH3B1	358	158.95	429.39	175.19	357.16	179.01
ENSG00000006555_TTC22	0	0	0	0	0	0
ENSG00000006576_PHTF2	759	648	710	537	520	782
ENSG00000006606_CCL26	2	1	1	0	0	0
ENSG00000006607_FARP2	1284.38	1076	1217.5	1152.69	1110.03	1470.67
ENSG00000006611_USH1C	0	0	0	0	0	0
ENSG00000006625_GGCT	1601	1829	1414	1195	1058	1958
ENSG00000006634_DBF4	838.68	763.56	675.02	425.45	550.46	734.69
ENSG00000006638_TBXA2R	27.08	16.49	19.02	10.88	20.46	6.41
ENSG00000006652_IFRD1	2498	2707	1611	2595	2173	3139
ENSG00000006659_LGALS14	0	0	0	0	0	0
ENSG00000006695_COX10	311.91	522.79	277.86	473.37	258	533.87
ENSG00000006704_GTF2IRD1	1488.28	1582	1416	1239.74	1481	1785
ENSG00000006712_PAF1	1216	1185	1075	1145	907	1383
ENSG00000006715_VPS41	973	667	900	624	506	603
ENSG00000006740_ARHGAP44	27	18.57	18	11	19	16
ENSG00000006744_ELAC2	1501	2186	1500	1804	1129	2229
ENSG00000006747_SCIN	5	4.83	8.13	7.09	5	3.93
ENSG00000006756_ARSD	19.98	1	23.44	0	19.53	0
ENSG00000006757_PNPLA4	22	0	22	0	22	0
ENSG00000006788_MYH13	0	0	0	0	0	0
ENSG00000006831_ADIPOR2	3760	3306	3097	2668	2916	3555
ENSG00000006837_CDKL3	17.49	31.57	28.4	39.81	25.19	38.67
ENSG00000007001_UPP2	0	0	0	0	0	0
ENSG00000007038_PRSS21	2	0	5	2	1	3
ENSG00000007047_MARK4	277	329	311	351	266	381
ENSG00000007062_PROM1	1	0	0	0	0	0
ENSG00000007080_CCDC124	629	654	889	630	728	802
ENSG00000007129_CEACAM21	0	0	0	0	0	0
ENSG00000007168_PAFAH1B1	2579	2933.53	2328	2684	1997	3424
ENSG00000007171_NOS2	0	0	0	0	0	0
ENSG00000007174_DNAH9	1	10	1	6	0	4
ENSG00000007202_KIAA0100	8005.27	8197.36	7344.96	7171.55	5607	9215.52
ENSG00000007216_SLC13A2	0	0	0	0	0	1
ENSG00000007237_GAS7	3	38	1	17	1	40
ENSG00000007255_TRAPPC6A	25	48	63	72	25	57
ENSG00000007264_MATK	2	1	2	0	2	4
ENSG00000007306_CEACAM7	0	0	0	0	0	0
ENSG00000007312_CD79B	0	0	0	0	1	0
ENSG00000007314_SCN4A	0	0	0	0	0	0
ENSG00000007341_ST7L	344.49	427.82	331.58	307.16	268.79	449.62
ENSG00000007350_TKTL1	2	0	0	2	0	4
ENSG00000007372_PAX6	11	2	10	7	3	6
ENSG00000007376_RPUSD1	290	707	406	592	319	852
ENSG00000007384_RHBDF1	791	734	907	715	770	845
ENSG00000007392_LUC7L	1251	1534	1245	1220	928	1481
ENSG00000007402_CACNA2D2	2	2	1	6	1	3
ENSG00000007516_BAIAP3	3	13	7	9	4	7
ENSG00000007520_TSR3	414	702	416	633	374	913
ENSG00000007541_PIGQ	324	525.5	344	461	348	561
ENSG00000007545_CRAMP1	909.3	1143.94	781.9	951.71	747.1	1159.39
ENSG00000007866_TEAD3	1075	1169	821	881	943	1308
ENSG00000007908_SELE	0	0	0	0	0	0
ENSG00000007923_DNAJC11	2020.73	2500.32	1932.83	2111.93	1543.39	2675.8
ENSG00000007933_FMO3	11	0	5	0	2	0
ENSG00000007944_MYLIP	272	303	228	278	171	333
ENSG00000007952_NOX1	1	0	0	0	0	0
ENSG00000007968_E2F2	635	263	516	155.79	195	249.98
ENSG00000008018_PSMB1	2821	2552	2498	1792	1688	2387
ENSG00000008056_SYN1	2	0	1	0	0	2
ENSG00000008083_JARID2	350	445	419	545	407	587
ENSG00000008086_CDKL5	307.22	413.77	253.01	389	292.09	409.91
ENSG00000008118_CAMK1G	0	0	0	0	0	0
ENSG00000008128_CDK11A	690.18	895.76	801.65	877.19	535.76	818.15
ENSG00000008130_NADK	1714	2146	2099	1956	1623	2434
ENSG00000008196_TFAP2B	15	8	12	5	13	5
ENSG00000008197_TFAP2D	0	0	0	0	0	0
ENSG00000008226_DLEC1	2	2.2	4.52	1	9.81	0
ENSG00000008256_CYTH3	1948	921	1897	768	1583	1132
ENSG00000008277_ADAM22	54	84	27	36	19	66
ENSG00000008282_SYPL1	2038	1904	2072	1715	1467	2014
ENSG00000008283_CYB561	1452	2420	1798	2249	1189	2708
ENSG00000008294_SPAG9	3902	3519.55	4236	4071.89	3510	4570
ENSG00000008300_CELSR3	1091	1172	1300	1677	1043	1645
ENSG00000008311_AASS	353.02	228.97	258	147	206	219.37
ENSG00000008323_PLEKHG6	7	6	6	10	0	5
ENSG00000008324_SS18L2	285	334	355	353	216	393
ENSG00000008382_MPND	127	134	123	94	102	146
ENSG00000008394_MGST1	6840	5178	6011	3866	3956	5282
ENSG00000008405_CRY1	384	399	560	625	322	563
ENSG00000008438_PGLYRP1	1	0	2	0	0	0
ENSG00000008441_NFIX	1363	1121	1610	1068	1331	1294
ENSG00000008513_ST3GAL1	1152	904	1031	1245	1355	1420
ENSG00000008516_MMP25	6.63	11.76	14.31	11.34	8	19.29
ENSG00000008517_IL32	4796	7705	5280	8182	6057	10317
ENSG00000008710_PKD1	2343.05	2572.56	2976.88	2442.73	3909.68	3417.75
ENSG00000008735_MAPK8IP2	1	0	7	0	3	1
ENSG00000008838_MED24	1510	1801.99	1540	1665	991	1700
ENSG00000008853_RHOBTB2	782.07	1134.61	537.77	496.92	383.56	873.78
ENSG00000008869_HEATR5B	805	734	727	812	638	856
ENSG00000008952_SEC62	2368	2022	2546	2220	1916	2617
ENSG00000008988_RPS20	9846.06	9139	9376.6	6648	7144	9371.53
ENSG00000009307_CSDE1	15969	16142	15620	16621	12679	19563
ENSG00000009335_UBE3C	3881	3663	3659	3366	2896	4310
ENSG00000009413_REV3L	1710.28	1273.09	1651.58	1359.67	1539.95	1700.98
ENSG00000009694_TENM1	208.76	11	206.85	21	137	34
ENSG00000009709_PAX7	0	0	0	0	0	0
ENSG00000009724_MASP2	18	22	33	26	9	11
ENSG00000009765_IYD	1.94	0.89	1	1.03	0	2
ENSG00000009780_FAM76A	175	158	193	137	126	157
ENSG00000009790_TRAF3IP3	6.33	2.92	3.12	1.39	1.87	1
ENSG00000009830_POMT2	1001	926	985	791	785	983
ENSG00000009844_VTA1	1490	1135	1382	1130	1208	1468
ENSG00000009950_MLXIPL	99.23	225.24	185.84	310.1	71.12	228.78
ENSG00000009954_BAZ1B	6782	6763	6154	7027	5938	8155
ENSG00000010017_RANBP9	1509.37	1801	1193.32	1400.19	1384.11	2159.52
ENSG00000010030_ETV7	3	24	1	6	3	28
ENSG00000010072_SPRTN	361.74	335.6	344.18	257.36	290.45	473.37
ENSG00000010165_METTL13	1648	1766	1472	1371	996	1518
ENSG00000010219_DYRK4	298	398	274	354	301	499
ENSG00000010244_ZNF207	5201	4970	4499.81	4121	4002	5726.66
ENSG00000010256_UQCRC1	3924	4874	3305	3832	3437	5558
ENSG00000010270_STARD3NL	505	377	439	268	334	358
ENSG00000010278_CD9	557	378	520	239	214	351
ENSG00000010282_HHATL	0	2	0	0	0	0
ENSG00000010292_NCAPD2	8631.42	6475.1	6270.67	3523.28	3258.55	5096.95
ENSG00000010295_IFFO1	473	342	527	238	253	288
ENSG00000010310_GIPR	5	6	10	8.24	0	9
ENSG00000010318_PHF7	56	35	64	40	29	32
ENSG00000010319_SEMA3G	3	10	7	3	6	5
ENSG00000010322_NISCH	1330	1296	1605	1350	1087	1332
ENSG00000010327_STAB1	0	2	1	0	0	0
ENSG00000010361_FUZ	57	91	53	87	52.07	100
ENSG00000010379_SLC6A13	0	0	4	0	0	0
ENSG00000010404_IDS	1561.8	921.85	1826.04	1097.41	1160.42	1108.18
ENSG00000010438_PRSS3	479	763	387	692	377	915
ENSG00000010539_ZNF200	289.4	300	330	290	237	358
ENSG00000010610_CD4	0	0	0	0	1	0
ENSG00000010626_LRRC23	145.83	105.35	145.54	91.7	89.61	95
ENSG00000010671_BTK	1	2	2	0	1	5
ENSG00000010704_HFE	284.03	290.56	209.02	180.89	127	218.53
ENSG00000010803_SCMH1	1410	1884	1352	1582	1759	2669
ENSG00000010810_FYN	1282	398	1294	534	1339	587
ENSG00000010818_HIVEP2	1519	1307	1343	1934	1477	1674
ENSG00000010932_FMO1	1	0	0	0	0	0
ENSG00000011007_TCEB3	3356.18	4207.56	3059.61	4264.81	2968.03	5071.47
ENSG00000011009_LYPLA2	853	1523	846	1143	627	1586
ENSG00000011021_CLCN6	793.29	800.72	884.48	1053.53	537.79	874.97
ENSG00000011028_MRC2	2745	2054	4137	2012	2710	2318
ENSG00000011052_NME1-NME2	316.77	195.02	223.56	121.94	256.84	255.73
ENSG00000011083_SLC6A7	0	0	0	0	0	0
ENSG00000011105_TSPAN9	395	532	336	399	329	477
ENSG00000011114_BTBD7	666	551.03	733	670	526.67	643.16
ENSG00000011132_APBA3	230	273	239	215.03	228	243
ENSG00000011143_MKS1	309	426	308	281	251	399
ENSG00000011198_ABHD5	987	464	657	396	636	485
ENSG00000011201_ANOS1	0	0	1	0	0	0
ENSG00000011243_AKAP8L	1095.35	1175.57	1074.7	1078.84	785.69	1071.84
ENSG00000011258_MBTD1	355	326	352	296	253	361
ENSG00000011260_UTP18	1704	1452	1656	1257	1272	1800
ENSG00000011275_RNF216	2360	2270	2222	2067	2136	2601
ENSG00000011295_TTC19	674.26	990.03	689.62	1101.75	734.58	1339.04
ENSG00000011304_PTBP1	5778	6094	6391	5161	4587	5975
ENSG00000011332_DPF1	71	64	47	28	29	43
ENSG00000011347_SYT7	68	5	234	28	93	4
ENSG00000011376_LARS2	1571	1746	1333	1615	1030	1804
ENSG00000011405_PIK3C2A	2816	2409	2926	2639	2486	3079
ENSG00000011422_PLAUR	450	316	453	358	258	321
ENSG00000011426_ANLN	5607	2339	4989	1840	2805	2767
ENSG00000011451_WIZ	971	1186	1189	1235	1195	1468
ENSG00000011454_RABGAP1	1484	1954	1443	2364	1201	2383
ENSG00000011465_DCN	276	192	192	191	106	93
ENSG00000011478_QPCTL	420.04	395	372.01	240	204	343
ENSG00000011485_PPP5C	3051.8	2973	2697	2190	2096	2934
ENSG00000011523_CEP68	592.01	453.84	506	385	505.01	519.62
ENSG00000011566_MAP4K3	444	266	431	304	341	343
ENSG00000011590_ZBTB32	0	19	0	10	0	21
ENSG00000011600_TYROBP	0	0	0	0	0	0
ENSG00000011638_TMEM159	336	207	299	177	342	208
ENSG00000011677_GABRA3	172	145	148	154	153	151
ENSG00000012048_BRCA1	2152	1712	1734	1102	1230	1652
ENSG00000012061_ERCC1	1767.87	2219.13	1951.12	2321.54	1871.72	2844.38
ENSG00000012124_CD22	3	4	7	4	6	1
ENSG00000012171_SEMA3B	200	364	213	178	134	369
ENSG00000012174_MBTPS2	966.88	926.73	899.17	804.78	896.32	1095.36
ENSG00000012211_PRICKLE3	417	657	327	387	330	541
ENSG00000012223_LTF	54	0	54	1	120	2
ENSG00000012232_EXTL3	1331.02	1074	1208.58	767.13	759.09	1118.25
ENSG00000012504_NR1H4	5	0	8	0	4	0
ENSG00000012660_ELOVL5	3695	1674	3243	1384	2184	1828
ENSG00000012779_ALOX5	0	0	0	0	0	2
ENSG00000012817_KDM5D	2	4	2	2.98	3	0
ENSG00000012822_CALCOCO1	724	869	939	1566	471	923
ENSG00000012963_UBR7	1491	1050	1270	656	750	987
ENSG00000012983_MAP4K5	695	442	675	370	676	561
ENSG00000013016_EHD3	163	80	120	70	83	93
ENSG00000013275_PSMC4	2296	1722	1959	1381	1617	1826
ENSG00000013288_MAN2B2	512	608	495.91	461	386	580.03
ENSG00000013293_SLC7A14	0	4.17	1.03	2.05	1.21	1
ENSG00000013297_CLDN11	10.11	2	10.07	1.77	12.26	1.11
ENSG00000013306_SLC25A39	3719	5242	3968	4560	3317	5549
ENSG00000013364_MVP	2652	2419	2313	2290	1744	2196
ENSG00000013374_NUB1	1543.98	1529	1452.98	1291	1293	1763
ENSG00000013375_PGM3	1259.8	797.72	1651.87	1100.11	1299.17	1171.23
ENSG00000013392_RWDD2A	131	91	172	104	177	163
ENSG00000013441_CLK1	1197	1057	1434	1119	1337	1497
ENSG00000013503_POLR3B	907	994	812	869	673	1116
ENSG00000013523_ANGEL1	747.63	782.19	896.95	781.03	684.07	840.24
ENSG00000013561_RNF14	995.64	929.63	802.88	706.75	814.57	1034.01
ENSG00000013563_DNASE1L1	535.09	436.41	533.28	469.66	500.65	579.28
ENSG00000013573_DDX11	2873.12	2767.58	3507.7	2237.82	2033.15	2726.17
ENSG00000013583_HEBP1	713	610	540.53	424	484	612
ENSG00000013588_GPRC5A	680	129	430	101	285	116
ENSG00000013619_MAMLD1	477	243	348	188	276	252
ENSG00000013725_CD6	0	0	0	0	0	0
ENSG00000013810_TACC3	2404	2635	2199	1433	1278	2271
ENSG00000014123_UFL1	976	860	1169	1047	930	1220
ENSG00000014138_POLA2	998.73	911.92	921	532.78	510.03	892.01
ENSG00000014164_ZC3H3	279	421	309	429	358	467
ENSG00000014216_CAPN1	2714	3433	2404	2616	1766	3280
ENSG00000014257_ACPP	5	14	4	4	2	4
ENSG00000014641_MDH1	3558	2575	2766	1958	1994	2607
ENSG00000014824_SLC30A9	1466	1454	1392	1590	1228	1897
ENSG00000014914_MTMR11	297	204	197	132	183	173
ENSG00000014919_COX15	1242	1797	1099	1426	879	1889
ENSG00000015133_CCDC88C	372	245	364	249	479	330
ENSG00000015153_YAF2	302	381	298	409	374	543
ENSG00000015171_ZMYND11	1464	1192	1480	1563	1461	1761
ENSG00000015285_WAS	4	2	8	2	2	1
ENSG00000015413_DPEP1	0	0	1	1	0	1
ENSG00000015475_BID	1030	1278	1048	967	968	1320
ENSG00000015479_MATR3	5675.29	5038.01	5477.94	3850.59	4217.45	6295.72
ENSG00000015520_NPC1L1	0	1	0	2	0	5
ENSG00000015532_XYLT2	571	703	589	555	396	673
ENSG00000015568_RGPD5	22.29	18.24	20.03	16.52	26.12	150.85
ENSG00000015592_STMN4	0	1	1	0	1	1
ENSG00000015676_NUDCD3	2197	1954	2002	1788	1614	2145
ENSG00000016082_ISL1	2	0	0	0	0	0
ENSG00000016391_CHDH	2.61	1	1.19	2	0	5.03
ENSG00000016402_IL20RA	0	1	2	0	0	0
ENSG00000016490_CLCA1	0	0	0	0	0	0
ENSG00000016602_CLCA4	0	0	0	0	0	0
ENSG00000016864_GLT8D1	1480	1328	1271	1033	855	1240
ENSG00000017260_ATP2C1	3802.44	2471.63	3366.83	1800.51	2766.26	2699.99
ENSG00000017427_IGF1	0	0	0	0	0	0
ENSG00000017483_SLC38A5	12	6	13	16	13	4
ENSG00000017797_RALBP1	1742	1997	1492	1578	1219	2000
ENSG00000018189_RUFY3	349	356	323	315	287	407
ENSG00000018236_CNTN1	1	3	0	2	0	0
ENSG00000018280_SLC11A1	2	3	3	4	3	1
ENSG00000018408_WWTR1	804.46	609.68	601.1	454.81	558.15	559.82
ENSG00000018510_AGPS	2310	1413	1993	972	1714	1448
ENSG00000018607_ZNF806	0	0	0	0	0	0
ENSG00000018610_CXorf56	581.09	792.32	593.12	729.99	453.09	788.99
ENSG00000018625_ATP1A2	126	5	114	1	59	2
ENSG00000018699_TTC27	873	745	854	660	915	1049
ENSG00000018869_ZNF582	1	0	0	0	0	0
ENSG00000019102_VSIG2	0	0	0	0	0	1
ENSG00000019144_PHLDB1	1348.11	2320.83	1368	1370.49	1009.85	2555.94
ENSG00000019169_MARCO	9	3	11	2	4	0
ENSG00000019186_CYP24A1	0	0	1	0	1	0
ENSG00000019485_PRDM11	272	419	261	406	254	458
ENSG00000019505_SYT13	0	0	3	1	0	0
ENSG00000019549_SNAI2	854	498	543	566	799	696
ENSG00000019582_CD74	1	8	1	14	0	10
ENSG00000019991_HGF	45	0	29	1	26	3
ENSG00000019995_ZRANB1	1366.4	1162.03	1052.83	1138.4	1304.45	1427.57
ENSG00000020129_NCDN	753	1241	941	1326	776	1479
ENSG00000020181_ADGRA2	667.53	108.19	906.93	81.45	919.21	108.25
ENSG00000020219_CCT8L1P	0	0	0	0	0	0
ENSG00000020256_ZFP64	337	379	268	263	216	318
ENSG00000020426_MNAT1	569	528	507	604	525	724
ENSG00000020577_SAMD4A	1729	891	1642	1138	1931	1453
ENSG00000020633_RUNX3	0	0	0	0	0	0
ENSG00000020922_MRE11A	1320.01	1045	1112	867	918.03	1092.31
ENSG00000021300_PLEKHB1	4	1	0	0	0	0
ENSG00000021355_SERPINB1	991	813.01	1049	1048	986	1037
ENSG00000021461_CYP3A43	0	0	0	0	0	0
ENSG00000021488_SLC7A9	2	3	9	3	0	0
ENSG00000021574_SPAST	429.91	369	447.01	439	398	464.99
ENSG00000021645_NRXN3	1	0	12	0	2	0
ENSG00000021762_OSBPL5	1678	1842	1793	1766	1141	1864
ENSG00000021776_AQR	1873	1441	1620	1210	1228	1487
ENSG00000021826_CPS1	1711.68	1220.37	1466.95	915.86	1005.18	1280.67
ENSG00000021852_C8B	0	0	0	0	0	0
ENSG00000022267_FHL1	7	5	4	2	7	3
ENSG00000022277_RTFDC1	1807	1925	1676	2040.87	1393	2344
ENSG00000022355_GABRA1	0	0	0	0	0	0
ENSG00000022556_NLRP2	15	0	23	2	12	0
ENSG00000022567_SLC45A4	90	113	138	118	74	89
ENSG00000022840_RNF10	4214.88	4436.89	3645	4223.96	3348.01	4816.9
ENSG00000022976_ZNF839	249	398.6	277.99	308.59	301.23	470.52
ENSG00000023041_ZDHHC6	1852	1197	1548	973	1411	1247
ENSG00000023171_GRAMD1B	227	197	187	133	100	129
ENSG00000023191_RNH1	1668	2471	2283	2852	2052	3161.92
ENSG00000023228_NDUFS1	2911.38	2542.38	2225.75	1674.58	1895	2686.24
ENSG00000023287_RB1CC1	1608	1300	1336	1267	1389	1477
ENSG00000023318_ERP44	1625	2083	1695	2082	1306	2416
ENSG00000023330_ALAS1	1642	1577	1448	1150	1140	1696
ENSG00000023445_BIRC3	3495	3599	1485	2554	3539	3543
ENSG00000023516_AKAP11	1383	1346	1170	1104	1095	1399
ENSG00000023572_GLRX2	385	486	311	368	372	586
ENSG00000023608_SNAPC1	2771.79	1317.82	2138.19	1480.27	2753.68	1642
ENSG00000023697_DERA	716	683	600	489	535	752
ENSG00000023734_STRAP	4839	4682	4281	3846	4016	5625
ENSG00000023839_ABCC2	2157	169	2115	102	854	157
ENSG00000023892_DEF6	174	906	182	636	150	1023
ENSG00000023902_PLEKHO1	467	204	390	178	253	197
ENSG00000023909_GCLM	1067	810	1192	780	684	903
ENSG00000024048_UBR2	1294	876	1176	987	949	1001
