GeneID	GSM8428862	GSM8428863
63976	11	9
100422968	0	0
105378606	0	2
107984909	0	1
105378605	1	0
105378604	62	53
27237	1166	1117
1953	980	828
105378608	13	10
693135	0	0
105378607	0	0
127262	1603	1384
49856	1087	1069
7161	695	616
105378610	10	9
105378609	0	0
57212	2862	2132
148870	3	4
388588	22	33
57470	3874	2889
9731	3388	2586
1677	317	268
107984910	17	28
339448	1363	1235
100133612	7	13
728716	0	0
105376672	2	0
105376673	1	3
284661	3	2
105376674	1	0
105376679	2	0
107985376	15	12
55966	1559	1374
105376680	0	0
102724429	0	0
105376681	0	0
105376682	0	0
107984911	0	0
105376686	0	0
100616421	0	1
261734	750	568
8514	518	549
26038	17	17
105376687	0	0
6146	54379	45631
107985733	236	190
102724450	6	4
388591	321	328
23463	9845	8735
148645	49	58
390992	1	0
387509	173	192
11332	5436	4168
54626	23	19
83715	64	61
100422975	0	0
8718	213	213
57449	998	814
79707	3223	2833
80835	9	13
107984912	0	2
3104	998	814
9903	1814	1449
107984913	16	26
148479	3714	3148
90326	2222	1949
55735	4104	3183
100505887	1	0
110841581	37	26
23261	3399	3010
105376692	0	0
102725193	0	2
101928836	0	0
105376691	0	0
105376689	44	41
9341	9511	8467
8863	1060	1061
10911	7	4
3604	349	311
11315	11755	8520
54206	4669	4047
107984915	2	2
102724539	0	1
105376695	1	1
50651	35	54
473	3776	3380
102724552	3	0
106632271	0	0
2023	195915	138003
102465436	205	3
100505975	7	3
112268261	4	7
765	1	1
155184	1	0
6518	13	16
80045	213	182
106614088	855	717
407040	34	18
102724571	82	104
9563	825	719
80176	1238	1026
100506022	21	18
84275	1752	1601
199953	2916	2077
107985734	37	40
105376712	1	0
5293	5510	4560
644997	1	2
101929074	64	81
22883	11814	8774
56998	894	822
105376717	121	105
84328	2471	2159
64802	675	564
113391335	7	6
100847055	10	4
116362	3053	3205
10277	3678	3105
23095	6576	4730
105376725	5	4
5226	13474	8501
100526739	967	793
378708	977	826
1325	49	41
1676	12798	8623
5195	2009	1595
54897	481	347
105376733	0	0
105376735	1	0
148345	1	2
23435	15312	12379
10747	197	200
6723	6303	4242
5394	8913	7547
105376736	141	96
2475	6234	4573
100873935	71	51
10218	7	3
29914	1918	1465
105376737	0	2
105376739	1	0
105376740	0	0
57540	5	3
112268221	0	0
101929181	2	1
26232	585	656
93611	2151	1918
26270	590	498
10459	3092	2406
374946	268	195
57085	1047	1144
284498	155	138
102724659	0	0
4524	994	933
1185	2019	1733
100379251	317	279
4878	90	70
4879	1482	1079
26829	2	0
90231	3020	2644
5351	12641	9434
9927	11257	8332
60672	1661	1375
102466982	3	4
943	195	82
102465836	4	4
7133	704	589
100616438	0	0
107984917	2	0
55187	2063	1821
677885	6	16
105376744	1	1
9249	82	66
102466722	0	0
343066	0	1
126767	0	1
93190	0	0
390999	0	0
65121	0	1
105376745	0	0
440560	1	0
343069	0	0
65122	0	1
400735	1	0
343071	0	0
441871	1	1
440561	0	0
101929983	0	0
649330	0	0
441873	0	0
649324	1	0
440563	0	0
645354	1	0
645359	0	0
101060301	0	0
343070	0	0
400736	0	1
391003	0	0
343068	0	0
391002	3	0
645382	1	0
653619	1	1
729528	0	3
645414	0	0
391004	0	0
645425	2	1
126755	15	5
102724856	2	1
107984918	1	0
10630	1001	863
107984919	0	0
105378612	0	0
105376756	0	1
7799	1946	1527
23254	1679	1672
107985467	0	1
107985468	0	0
105376762	2	1
105376759	1	3
107985469	0	3
200197	18	18
55092	3087	2599
727684	8	7
114827	83	65
101927417	5	5
101927441	24	19
79180	13026	7885
11330	3	0
63036	1	0
105376767	0	0
51032	26	24
842	586	471
23341	2063	1658
107397391	0	1
79814	69	58
84301	1690	1485
6248	419	296
23207	7043	5685
284723	36	48
110806303	19	14
388595	17	12
54751	6149	5252
440567	167	123
729614	306	266
23013	3166	2133
7709	2347	1861
149563	1	1
27129	7	3
1187	2	5
1188	15	14
348487	136	143
1969	12485	11705
101927479	62	56
128272	1346	1059
101927546	43	34
79363	133	121
54455	2296	1954
26099	7098	5436
374955	3680	2945
55707	4167	3494
107984921	91	91
114819	362	305
26871	3	1
107985757	0	0
100132147	4	5
107985758	0	1
7195	0	0
55672	1850	1389
105376794	826	625
84809	708	481
11209	48	32
107985736	12	11
26869	3	1
107985759	0	0
284729	8	8
100189045	0	0
6060	2	1
11223	26	40
100500876	0	0
100189298	0	0
112267871	22	20
7193	2	1
100189183	0	0
105376805	4	5
791226	0	0
26870	3	1
9696	1594	1039
4237	650	601
105376806	171	163
23400	1442	1091
6390	9161	6964
11240	165	146
105376808	0	0
400743	115	99
29943	123	111
51702	263	261
100616188	1	1
23569	176	192
353238	0	4
55920	10498	8537
55160	559	437
107984028	1	0
81569	0	1
105376809	0	1
105376812	0	0
101927876	1	0
84966	0	0
105376814	0	0
127707	128	117
5081	2	1
80834	1	1
8659	994	869
100616120	0	0
100302276	0	1
126917	1003	730
105376815	2	3
23352	15216	11793
101927895	454	194
23065	8005	5747
51154	6332	4530
246181	56	55
22977	55	60
100506730	167	174
8574	2119	1780
54896	1824	1689
832	12635	10138
105376819	2	1
105376818	0	0
105376817	1	1
105378614	0	1
440574	2478	2025
100532736	1615	1195
644068	137	118
4681	1069	784
3362	0	1
255104	1095	788
54546	0	0
105376823	3	1
23252	833	727
30814	1	1
5320	1	0
5322	0	0
26279	0	0
64600	0	0
391013	0	0
127733	0	0
101928017	0	0
105376825	0	0
105376826	1	0
105376827	0	0
105376828	0	0
127731	1	1
339505	0	1
55450	757	711
79594	1949	1654
163933	13	19
978	205	313
65018	3617	3716
102464833	39	42
100861548	3863	3910
1650	16439	13491
57576	359	239
400745	2968	2154
112268222	2908	2919
50809	13352	10116
8672	7458	6640
105376830	27	15
105376829	15	10
100302155	0	0
1889	8742	6453
100506801	10	16
105376832	0	0
84224	1311	973
249	83	61
105376834	0	0
5909	344	409
84196	6924	5951
401944	504	483
3339	3159	2162
23436	0	1
10136	1	1
101928043	26	21
29092	536	580
112268223	7	8
998	15294	12408
54361	18	39
105376845	16	10
105376850	1	2
107985377	0	0
100616433	0	0
105376856	0	1
9923	1890	1405
2046	0	3
102466615	0	0
712	0	1
714	0	0
713	1	0
2048	1213	1059
100616391	0	0
100422914	19	10
646262	0	0
729059	1	0
23028	8987	7747
100422866	0	1
7798	4036	3089
3352	82	103
100996511	653	630
10236	11649	9072
80818	1130	873
148898	182	183
6920	30	33
55616	1340	1072
1870	563	451
101928163	14	5
105376859	2	3
3399	1207	1117
107984928	0	1
259283	1	0
6135	61286	59477
6924	3523	2616
100506963	352	332
57095	3267	2553
105376860	164	153
11313	1366	1186
2582	4643	3393
3155	1331	1314
105376861	8	4
2517	2029	1725
1269	1	2
107984929	0	0
100616492	0	0
55629	9201	7745
10772	11282	9390
105378615	0	0
105376863	1	3
107984931	1	1
127294	13	11
107985737	1	0
105376864	0	0
58985	94	113
163702	386	308
284632	0	0
105376871	4	3
57822	87	62
90529	291	222
57185	1454	1250
100750325	1	1
11123	232	153
100506985	13	11
400746	3	2
10250	8580	7379
25932	43439	33721
105376876	0	0
864	87	91
102465437	0	0
107984932	2	1
105376878	75	41
100616365	0	0
105376879	0	0
25949	3853	3207
57035	2644	2132
105376882	0	1
6007	26	34
23585	4095	3540
6006	2868	2631
55219	2412	2061
26119	1356	1194
57134	17	22
57190	3400	2693
56181	1049	918
646471	173	139
79000	1380	1108
164091	900	842
3925	32505	27823
100500808	1188	1056
105376885	0	1
5051	690	572
101928216	40	55
2134	66	50
7780	28	12
105376910	0	1
84676	15	8
149420	808	673
105376886	2	0
79927	3	3
110806296	0	0
51042	1892	1426
10256	23	30
378807	1	2
101928303	0	0
64793	2592	2093
83442	6331	4919
91544	1245	1046
1043	7	2
55057	347	338
257101	2	8
79727	6	5
79947	2676	1823
101928324	19	26
3151	29606	24105
6195	5394	4398
100302190	1	0
105376888	0	1
101928728	45	30
8289	5571	4344
55650	514	493
84243	1486	1112
2810	2021	1544
54707	1891	1579
63906	1775	1161
10726	15647	11717
8431	25	15
126695	4	4
388610	930	921
115572	1142	968
101928391	3	3
6548	1982	1536
102723760	0	0
105376890	0	0
23038	1529	1296
84065	1309	1133
644961	54	38
84958	949	868
9064	1076	718
8547	4	4
388611	38	29
2827	386	366
10163	6689	5305
105376892	12	18
27245	1378	1310
2268	3	8
111216282	4	1
2537	12173	8631
199870	717	693
23673	3659	3133
5511	2392	2069
677774	1	0
9473	887	645
6118	5826	4836
27293	327	329
55113	508	438
2140	1029	836
5724	188	166
22826	18826	14351
93974	3836	3303
83667	3488	2268
54797	520	461
65979	3567	2996
1104	7444	5335
8420	1300	1109
6080	37	26
26768	29	20
54952	1504	1221
85028	1703	1506
692212	43	25
677838	239	200
677825	12	16
692073	45	48
115273	352	325
6883	1412	1274
105378616	8	7
26824	0	0
10691	712	624
51441	5484	5058
4985	10	6
2035	2770	2311
399474	1159	1030
6429	9127	7504
51102	1201	882
10076	1012	967
101928460	0	1
107984933	0	0
107984934	2	0
101929406	0	0
105378617	0	0
105378618	0	0
4146	30	30
100129196	31	33
7805	388	345
100616164	0	0
105378620	3	5
105378621	0	0
105378622	19	14
400748	1	0
9672	3017	2672
9698	6386	5618
692234	16	7
692235	9	7
692200	5	2
107984935	5	0
79570	6	6
9410	4901	3851
51538	3163	2370
2170	116	102
105378623	0	2
107985470	0	0
347735	1821	1841
105378625	0	1
105379772	0	0
149086	1	1
284551	4	1
105378626	297	366
64129	3319	2995
3061	216	192
553115	2855	2618
107985471	34	35
105378628	3	6
1307	954	770
101929444	4	7
576	409	427
100423028	0	0
90853	1520	999
8073	15208	12756
10657	16505	13024
55116	1163	1177
100847018	1	0
23633	5906	4985
200081	6165	4604
79140	443	333
56063	551	456
55721	768	622
149069	96	91
8668	13084	10505
339483	83	88
84734	26	34
3932	24	19
3065	10520	8120
65108	2107	1648
105378629	4	8
81629	428	447
100128071	37	44
55108	2918	2387
728116	257	263
653121	957	862
102723870	22	36
339487	2404	2013
5928	14168	12491
81493	3707	3411
57648	2452	2508
8565	20397	14356
64766	1709	1579
252995	46	23
105378631	1	1
3208	233	191
113452	2158	2087
105378632	1	6
127544	2021	1652
204	20698	13544
105378635	3	0
113451	225	164
112268224	9	5
55223	359	324
149076	836	794
127550	1	2
1912	2169	1912
100500853	98	77
101929464	3	8
7579	538	426
114784	1	4
105378638	0	0
127540	0	1
402779	0	0
84970	1	0
105378639	0	0
105378640	0	0
105378641	0	1
693137	0	0
105378642	1	0
2709	32	30
127534	25	19
2707	22	13
2701	1	0
113444	1884	1654
58512	11	8
653160	61	46
100506144	749	779
9204	1113	1034
79830	2917	2578
105378644	15	16
6421	14266	9484
9202	3997	3304
100861513	86	53
79932	3307	2730
23154	1524	1094
339488	56	63
105378645	6	6
5690	9021	7351
105378646	0	0
127703	1728	1338
63967	7042	6048
192670	688	604
26523	2078	1572
192669	1284	1280
105378647	2	4
27285	9	10
54936	2589	2078
1296	200	172
27095	4067	3394
55700	11927	7441
9967	10459	8282
79729	1664	1122
55194	603	464
83931	3136	2356
84967	966	864
127700	260	252
109616970	1	0
107984940	3	5
64960	4510	3906
1441	28	15
107984941	0	0
105378648	1	0
2899	1	2
100422898	0	0
107984942	0	1
728431	81	93
80149	895	667
102465438	9	7
64769	3967	3486
100847010	27	17
105378649	155	133
79753	1859	1511
7802	125	116
29889	5317	4206
284654	0	1
54955	2944	2188
55143	2827	2089
284656	3	2
105378650	0	0
149175	1002	821
79693	1313	1055
127687	1407	1123
4520	1244	868
3633	1871	1616
105378651	88	48
10946	11142	8819
2275	607	591
51118	3119	2725
5453	7	3
107985103	4	3
105378653	8	6
100500801	0	0
105378655	1	0
105378654	0	2
339442	0	0
105378657	0	0
107984943	0	0
105378656	0	0
105378658	0	0
105378660	1	1
64121	6424	5809
100527950	781	603
26292	750	571
105378663	18	18
81025	32	30
54933	57	39
105378662	31	32
79647	5717	5024
4725	8690	6640
23499	11313	9575
643314	1209	542
105378950	1	0
353500	78	103
192217	87	83
728448	20	36
8761	7332	5533
101929516	969	669
677834	11	13
26508	41	42
84618	1	1
51440	35	44
10450	2083	1696
656	95	73
64064	153	106
105378666	0	0
101929536	8	2
105378951	1	0
107985740	0	0
105378665	0	0
105378667	3	0
54802	2429	1921
4610	193	157
105378668	17	10
84879	756	584
105378669	19	6
10487	16213	12344
5538	18102	16078
105378671	2	0
6018	2027	1709
127391	2	0
10269	5228	4958
1298	514	503
107984945	0	1
64744	959	773
65243	333	303
339559	535	407
105378672	17	32
64789	1157	939
127396	295	275
105378673	2	2
9783	244	240
105378675	14	12
105378674	0	0
100130557	203	206
4802	1704	1515
407034	0	0
407031	0	0
9132	47	64
105378676	1	1
163732	126	113
1503	15576	10557
100507178	251	223
200172	201	173
22955	1271	1022
100132074	240	204
101929901	6	13
105378678	1	1
1907	97	137
59269	396	337
2981	0	1
2980	0	0
22887	5012	3966
284716	212	160
84217	0	2
728621	216	220
79717	2499	2411
10465	1963	1602
4904	57486	42489
149461	1	1
64175	2957	2191
79078	437	335
105378683	9	3
100129924	19	16
107984946	2	8
374969	400	416
114625	443	339
51058	625	435
339539	2	2
6513	8937	6668
440584	32	32
440585	8	14
10969	12188	7265
102465439	9	2
149465	69	88
105378685	4	2
128218	5	0
149466	1	2
7075	2190	1852
4352	47	37
105378687	47	43
991	6164	4584
64834	3802	3296
102466723	8	4
112268225	18	19
112950	2487	1797
107984947	389	335
23334	2253	1734
100873952	75	54
102465440	2	2
81888	1066	959
5792	13066	8673
9682	4392	3031
100132774	650	525
6487	683	723
101929592	5	7
102464830	0	0
9048	11	7
105378688	38	30
101929609	60	34
9670	998	782
1802	1725	1150
533	3294	3239
8704	1840	1521
149473	219	175
6536	842	665
107984948	7	12
128209	1	3
105378952	0	1
55929	2625	2136
79033	1877	1613
100874278	40	25
106635545	0	0
55182	3233	2704
107984951	0	0
100847089	0	0
107984950	1273	934
79639	255	324
109623472	1	2
339541	35	45
105378690	11	6
26828	1	2
26830	1	1
11004	8731	6710
109623476	12	5
6202	69027	63310
26811	109	86
94161	6	7
94162	35	36
94163	76	48
266675	8	11
1263	709	575
343521	66	48
149478	157	129
107984952	9	35
8643	29	27
8891	2278	1641
79654	3228	2490
7389	6010	4613
57643	3	6
105378691	12	13
400752	12	13
84842	32	18
4595	1098	907
114034	1459	1063
10420	384	320
126661	159	107
25974	4730	3836
5052	17957	14242
10327	4700	2898
4678	19713	16288
149483	22	37
60313	4747	4366
728963	14	19
51249	1857	1765
3652	882	635
105378693	0	0
23139	3576	2605
105378694	6	3
110117499	171	135
8503	195	149
101929626	11	5
10103	254	251
110117498	0	0
55624	4563	3548
541468	121	88
8438	2492	1961
10489	1716	1468
7388	7036	5357
387338	2103	1734
2166	24	39
729041	8	16
101929651	0	0
127343	1	4
105378696	0	1
100507423	185	148
148930	1	1
8569	1497	1236
148932	904	719
105378697	3	1
64756	2697	2128
374973	4	3
100130197	240	164
9813	6362	5225
105378698	74	51
105378699	0	0
1580	6	3
163720	0	2
1579	0	0
260293	2	7
199974	8	4
284541	0	1
105378701	15	16
100874253	17	11
10158	623	554
6886	16	9
6491	3215	2691
51727	13975	10643
102724077	19	12
2301	2	1
84793	301	250
2306	52	57
107984953	1	2
388630	0	3
105379778	1	1
391037	0	1
200010	3	1
54558	73	81
84871	0	3
79656	0	2
105378706	0	0
101929721	1	0
100874313	0	0
107984954	0	0
105378708	1	0
1996	0	4
105378709	0	0
107984955	1	1
105378711	0	1
105378710	0	0
105378712	2	1
63950	1	1
105378714	0	1
11124	4386	3547
105378715	13	14
112268262	2	4
1031	1333	1151
100616189	0	0
102466656	0	0
284546	2	0
105378716	0	2
26994	6771	5732
22996	142	136
105378717	1	2
102724097	1	1
2060	3512	3119
105378720	5	6
441884	2	6
105378719	0	2
114883	5137	4551
4898	4717	3569
105378721	202	164
100313892	38	20
5865	6037	5108
51060	6766	5408
112970	489	393
104355143	11	5
91408	4118	3159
107984956	1	1
9372	2078	1681
200014	4376	3159
4998	2048	1692
84950	3223	2533
23318	3224	2514
105378723	4	3
2882	338	323
348378	0	0
65260	3360	2744
79699	2670	2468
440590	1003	817
55268	210	218
6342	5021	4265
127435	31	23
6512	9	21
105378724	1	1
1376	1137	913
54987	1898	1615
4116	3520	2998
100507564	80	67
7804	2303	1687
105378728	73	60
105378726	61	31
105378732	4	4
105378731	8	8
105378730	33	24
107984957	0	1
163742	0	0
105378733	0	0
63948	0	0
148979	82	53
55706	5313	4846
54432	987	834
1733	11	8
51668	4439	4164
115353	4369	3392
388633	18	22
9528	5571	5504
127428	1035	853
100616315	0	0
200008	2	3
606495	1355	1265
51253	8639	6908
23648	999	911
619518	8	9
105378735	0	0
105378734	0	0
26027	75	68
338094	19	19
100527960	1383	969
374977	1	2
7268	1384	968
25973	309	318
55001	2	1
163747	1	1
1718	23533	19815
107984958	31	29
107985760	0	1
105378736	0	2
199964	1	1
7809	2	4
255738	102	101
23358	3641	2913
100507634	63	66
109729135	1	1
100616272	0	0
105378740	0	0
105378739	0	0
105378738	0	0
105378737	0	2
105378741	0	1
105378744	0	0
8613	19	8
101929935	0	0
5563	175	140
199920	3	1
731	2	0
732	1	5
105378745	0	0
112267900	1	2
1600	1	1
105378748	1	0
105378747	0	0
101926890	0	1
105378746	0	0
107984960	4	4
115209	701	727
4070	198	34
114803	3908	2934
112268263	0	1
105378751	2	1
3725	5274	4082
100131060	1	0
101926907	32	37
107984961	1	0
105378753	11	12
101926925	15	21
729467	2	1
105378756	64	44
55277	562	417
100616409	0	0
101926944	9	4
105378758	1	0
51361	919	747
1573	11	16
127795	0	0
105378760	0	0
107984963	0	0
105378761	0	0
107984962	0	0
107985379	0	0
105378763	0	1
101926964	0	1
105378764	1	0
100996570	1	5
4774	25	15
645030	0	0
105378766	0	2
107984964	0	0
414927	0	0
83941	1339	1254
10207	883	782
113219465	0	0
107984965	0	3
100422902	0	0
100422946	0	0
54596	0	1
163782	0	1
105378768	0	0
7398	13692	12316
85440	2149	1815
27329	4	3
84938	891	818
105378769	0	0
199899	2	1
105378770	0	3
100996301	6	14
27022	3	2
102464823	0	0
29929	754	642
23421	2285	2101
102724319	1	2
84455	556	511
79469	26	15
5236	4241	3283
105378771	2	2
4919	162	132
105378772	0	1
101927034	1	3
105378773	0	3
148581	0	0
105378774	0	1
107984966	0	0
57685	64	44
100616338	0	0
55225	1052	888
3716	11513	7947
101927084	4	5
100500854	2	1
406893	0	0
205	5173	3980
9829	4961	4348
102724416	83	86
112268227	86	87
3953	796	712
54741	6434	5944
5142	18	10
101927139	1	0
105378776	0	0
84251	6	4
100422871	0	0
200132	0	1
10022	0	0
79819	33	40
57708	4049	3536
23169	965	736
400757	0	1
149233	0	1
3595	6	16
105378779	1	2
26135	29644	21214
102724481	0	0
105378780	0	0
1647	10548	7760
55970	14936	12067
105378781	6	4
100289178	74	74
9077	6	6
79971	4089	3604
100302279	1	1
105378782	0	1
6121	0	2
55635	4028	3233
101927220	9	10
107984967	0	0
105378783	1	0
105378785	2	1
105378787	1	0
105378786	0	0
105378788	1	0
105378789	2	2
105378790	0	0
57554	40	50
5301	0	0
105378792	9	10
55631	3143	2874
9295	13751	12353
81573	2160	2019
11147	569	511
102724548	34	35
1491	443	380
105378793	0	1
105378794	0	1
101927244	1	0
102724572	0	0
5733	1	3
107985517	0	1
100132618	671	556
9406	9267	7102
406962	23	19
100852410	6	5
105378795	1	0
257194	272	237
100852409	0	0
105378797	4	3
105378796	2	1
105378798	3	0
339468	0	0
105378799	0	0
105378800	0	1
101927295	0	0
105378801	0	0
107985391	0	0
105378802	0	0
109729166	0	0
127255	27	23
100526835	28	25
8790	570	446
51086	1	3
105378805	0	0
105378803	0	1
127254	0	3
101927320	0	2
1429	2438	2203
127253	2263	2115
431707	0	0
204962	4	6
34	3574	3202
1744	45	34
5876	6755	5614
692085	68	45
26805	148	97
26804	69	64
4438	1	3
127247	0	0
105378806	0	0
101927342	0	0
256435	6	4
105378807	0	0
110806286	0	0
81849	3	1
102466995	0	0
10026	4218	4016
105378808	38	28
26289	1169	737
26009	3294	2803
23032	3336	2952
374986	2450	1868
374987	121	104
91624	3935	3241
8880	8510	5534
11080	1750	1595
54810	5	4
107984997	0	2
149047	0	0
5737	31	14
10964	2289	1705
10561	7587	5181
64123	9	13
107984998	0	0
105378810	0	0
105378812	0	0
105378811	0	2
107983999	0	0
101927412	0	0
105378813	0	1
107985018	0	0
23266	75	59
101927434	0	0
105378814	0	0
107985396	0	0
103283057	0	3
101927498	1	0
107985037	1	1
105378816	0	1
101927542	0	0
107985043	0	0
101927587	1	0
101927560	0	0
107985041	2	0
79739	192	170
5567	724	767
107985046	18	7
112268230	0	0
148418	11	8
391051	3	3
58511	0	0
80135	3509	2945
2787	3575	3366
100505741	151	125
1486	1057	933
105378819	2	0
103695366	2	2
439927	0	0
117178	1876	1668
102724892	0	1
23566	198	152
255231	8	8
55283	146	176
126820	4	3
100616481	1	0
84144	584	531
105378821	0	0
148423	2137	1869
8915	1921	1603
646626	72	63
23576	4411	4244
107985054	362	324
3491	43971	31569
107985057	34	23
112268231	5	9
54680	2546	2096
105378823	0	1
255631	12	9
105378824	0	1
105378825	0	0
57489	1114	1036
102465842	0	0
9635	317	303
1179	1	0
105378827	0	0
105378826	1	0
22802	0	3
105378828	20	17
9629	0	1
51100	5334	4620
105378831	0	0
9403	9322	7734
9653	2854	2430
339524	1	3
101927844	1	0
8543	1150	977
100505768	0	0
105378833	1	1
105378834	1	0
107985408	0	0
105378835	0	0
107985518	0	0
107985519	0	0
101927871	2	0
105378836	0	0
105378839	0	0
101927891	2	0
105378838	0	1
5586	4852	3757
2959	1292	1134
56267	2677	2427
494115	1289	1049
2635	1421	1107
105378841	28	24
2633	4471	3262
2634	240	236
112268267	50	38
105378842	0	1
388646	1	1
115361	70	54
107985076	2	0
105378843	0	0
115362	89	56
729930	0	2
163351	8	4
400759	7	0
105378844	0	1
23507	41	24
84230	621	490
400761	6	6
107985743	1	1
101927952	3	3
107985744	1	0
101927975	1	0
55144	1647	1447
105378847	2	1
492303	59	64
284695	3709	2667
105378848	1	1
105378849	0	0
107985088	1	2
105378850	0	0
105378851	0	0
105378852	0	0
109616984	0	0
343472	0	0
105378853	42	55
105378855	17	7
105378854	2	1
84146	3452	3145
164045	32	35
107985412	0	0
107985417	0	0
105378856	0	0
8317	3629	3535
102723436	19	12
7049	498	505
676	1	1
253152	36	37
646817	40	40
284697	17	14
23285	119	112
388649	6	2
11146	1084	889
79871	1162	970
2672	13	3
7813	2188	1883
6125	66351	56476
388650	461	482
6083	13	22
26782	19	18
22823	2972	2739
50999	11472	9002
343099	1230	1185
107985521	2	2
100131564	411	345
1810	4103	3636
54874	1896	1585
107985761	0	0
8412	4619	4271
100129046	383	308
102723480	124	118
723788	20	15
100126348	0	0
100189133	0	1
30836	3523	3354
2730	2061	1728
24	38	41
105378858	13	19
9411	17828	14224
107985092	32	25
105378859	113	108
5825	3729	3225
2152	12512	8323
113219466	0	0
105378861	0	2
101928079	25	22
105378860	0	1
100616321	0	0
126969	109	117
1266	19075	16206
105378862	34	40
729970	231	250
199857	437	422
105378863	2	2
101928098	0	1
148534	2677	2683
100527978	506	398
101928118	6	7
25950	984	870
100996630	0	0
105378864	0	0
105379825	0	0
101928169	0	0
107985420	0	0
440594	0	0
100996635	1	0
101928219	0	0
102723661	0	0
101928241	1	0
105378866	0	1
58155	1650	1428
1806	419	330
100873932	5	6
105378867	4	2
100873933	1	0
109729128	1	1
400765	40	21
100616452	23	7
406928	4	4
729987	31	30
51375	1609	1280
163404	3	0
100129620	0	0
9890	1	7
107985093	0	0
101928270	0	1
54873	7	3
391059	137	135
178	1776	1597
23443	2724	2112
64645	4097	3762
163786	2728	2684
54482	1138	917
127495	217	188
1629	1239	1000
100506007	25	24
8634	2416	1715
693138	6	1
8556	521	466
105379827	0	1
54112	0	1
100128787	2	2
7412	0	1
2135	1123	1055
148867	1288	1129
51611	3761	3114
102606465	101	93
107985094	0	1
101928334	2	0
101928370	11	12
1901	448	311
102723784	0	0
104355286	0	0
105378872	0	0
118427	0	0
94236	0	0
107985095	0	1
105378874	0	0
112268286	0	0
107985096	0	0
1301	565	373
101928436	2	1
55599	896	668
280	125	149
648740	1	1
279	4	1
276	3	1
277	4	0
105378878	0	0
278	3	1
100129138	0	0
105378879	0	0
105378880	0	0
105378881	0	0
101928476	0	1
105378882	1	0
105378883	0	0
105378884	0	0
107985116	0	0
105378886	0	0
105378885	0	0
105378887	0	0
105378889	0	0
105378888	0	1
55170	1411	1076
22854	259	208
10451	3	2
102465839	0	0
100873946	0	0
107985124	0	1
29957	7657	6626
148545	1	1
653149	1	2
284611	488	578
113802	827	717
105378890	18	19
55119	3933	3458
163479	1	5
6814	3830	3513
105378891	18	16
254268	32	30
642864	0	1
107985159	1	0
29899	2348	2046
23155	3285	2520
22911	1222	963
6884	1961	1226
105378892	7	6
56900	2432	2004
677766	5	1
127003	1	2
57535	970	972
6301	26460	20553
1952	1659	1393
84722	1429	1004
343263	11	12
6272	6561	5733
5686	6879	4995
284612	4	10
127002	258	300
284613	455	344
57463	477	449
105378893	0	0
83873	1	0
2773	7733	6275
406974	3	2
2780	17	9
271	2032	1621
2948	402	346
2946	199	194
2944	25	29
2949	1	4
2947	1677	1546
79574	1	2
107985167	2	2
1435	1317	1260
10768	10841	8756
85369	1608	1269
105378895	1	0
257	117	94
104355139	2	1
164153	1	0
388662	0	5
105378897	0	0
100873974	0	0
3749	6	6
440600	8	6
64783	956	816
